script,return_code,stdout,stderr,duration_s,max_rss_kb
./outputs/23-04/FOURTOPS/Q1/openai_gpt-4o-mini\script_openai_gpt-4o-mini_1421_2.py,0,,,270.6974295999971,196608
./outputs/23-04/FOURTOPS/Q1/deepseek_deepseek-r1\script_deepseek_deepseek-r1_1447_1.py,0,"Epoch 1: Train AUC: 0.8458, Val AUC: 0.9167
Epoch 2: Train AUC: 0.9511, Val AUC: 0.9744
Epoch 3: Train AUC: 0.9753, Val AUC: 0.9823
Epoch 4: Train AUC: 0.9824, Val AUC: 0.9883
Epoch 5: Train AUC: 0.9890, Val AUC: 0.9242
Epoch 6: Train AUC: 0.9917, Val AUC: 0.9963
Epoch 7: Train AUC: 0.9930, Val AUC: 0.9962
Epoch 8: Train AUC: 0.9926, Val AUC: 0.9974
Epoch 9: Train AUC: 0.9939, Val AUC: 0.9960
Epoch 10: Train AUC: 0.9941, Val AUC: 0.9950
Epoch 11: Train AUC: 0.9943, Val AUC: 0.9960
Epoch 12: Train AUC: 0.9943, Val AUC: 0.9963
Epoch 13: Train AUC: 0.9944, Val AUC: 0.9978
Epoch 14: Train AUC: 0.9946, Val AUC: 0.9974
Epoch 15: Train AUC: 0.9951, Val AUC: 0.9962
Epoch 16: Train AUC: 0.9946, Val AUC: 0.9968
Epoch 17: Train AUC: 0.9954, Val AUC: 0.9980
Epoch 18: Train AUC: 0.9957, Val AUC: 0.9784
Epoch 19: Train AUC: 0.9956, Val AUC: 0.9962
Epoch 20: Train AUC: 0.9957, Val AUC: 0.9966
Epoch 21: Train AUC: 0.9959, Val AUC: 0.9974
Epoch 22: Train AUC: 0.9960, Val AUC: 0.9953
Epoch 23: Train AUC: 0.9964, Val AUC: 0.9972
Epoch 24: Train AUC: 0.9964, Val AUC: 0.9975
Epoch 25: Train AUC: 0.9965, Val AUC: 0.9963
Epoch 26: Train AUC: 0.9968, Val AUC: 0.9977
Epoch 27: Train AUC: 0.9966, Val AUC: 0.9974
Epoch 28: Train AUC: 0.9968, Val AUC: 0.9974
Epoch 29: Train AUC: 0.9969, Val AUC: 0.9976
Epoch 30: Train AUC: 0.9969, Val AUC: 0.9986
Epoch 31: Train AUC: 0.9970, Val AUC: 0.9970
Epoch 32: Train AUC: 0.9970, Val AUC: 0.9987
Epoch 33: Train AUC: 0.9972, Val AUC: 0.9985
Epoch 34: Train AUC: 0.9973, Val AUC: 0.9989
Epoch 35: Train AUC: 0.9977, Val AUC: 0.9987
Epoch 36: Train AUC: 0.9976, Val AUC: 0.9982
Epoch 37: Train AUC: 0.9976, Val AUC: 0.9981
Epoch 38: Train AUC: 0.9980, Val AUC: 0.9976
Epoch 39: Train AUC: 0.9980, Val AUC: 0.9982
Epoch 40: Train AUC: 0.9980, Val AUC: 0.9982
Epoch 41: Train AUC: 0.9983, Val AUC: 0.9979
Epoch 42: Train AUC: 0.9981, Val AUC: 0.9974
Epoch 43: Train AUC: 0.9984, Val AUC: 0.9990
Epoch 44: Train AUC: 0.9984, Val AUC: 0.9972
Epoch 45: Train AUC: 0.9983, Val AUC: 0.9990
Epoch 46: Train AUC: 0.9986, Val AUC: 0.9984
Epoch 47: Train AUC: 0.9986, Val AUC: 0.9989
Epoch 48: Train AUC: 0.9984, Val AUC: 0.9990
Epoch 49: Train AUC: 0.9988, Val AUC: 0.9986
Epoch 50: Train AUC: 0.9983, Val AUC: 0.9985
",,534.6852049000154,-4096
