script,return_code,stdout,stderr,duration_s,max_rss_kb
./outputs/22-04/FOURTOPS/Q1/openai_gpt-4o-mini\script_openai_gpt-4o-mini_1124_1.py,0,"Epoch 1/10, Train Loss: 49.679310633855344, Train Acc: 0.5032008176878799, Val Loss: 49.68053761981476, Val Acc: 0.503194623762704
Epoch 2/10, Train Loss: 49.68074585017639, Train Acc: 0.5031925414947632, Val Loss: 49.68053761981476, Val Acc: 0.503194623762704
Epoch 3/10, Train Loss: 49.68074585019218, Train Acc: 0.5031925414947632, Val Loss: 49.68053761981476, Val Acc: 0.503194623762704
Epoch 4/10, Train Loss: 49.680745850634175, Train Acc: 0.5031925414947632, Val Loss: 49.68053761981476, Val Acc: 0.503194623762704
Epoch 5/10, Train Loss: 49.680745850665744, Train Acc: 0.5031925414947632, Val Loss: 49.68053761981476, Val Acc: 0.503194623762704
Epoch 6/10, Train Loss: 49.680745850634175, Train Acc: 0.5031925414947632, Val Loss: 49.68053761981476, Val Acc: 0.503194623762704
Epoch 7/10, Train Loss: 49.680745850160605, Train Acc: 0.5031925414947632, Val Loss: 49.68053761981476, Val Acc: 0.503194623762704
Epoch 8/10, Train Loss: 49.68074585042896, Train Acc: 0.5031925414947632, Val Loss: 49.68053761981476, Val Acc: 0.503194623762704
Epoch 9/10, Train Loss: 49.680745850618386, Train Acc: 0.5031925414947632, Val Loss: 49.68053761981476, Val Acc: 0.503194623762704
Epoch 10/10, Train Loss: 49.68074585019218, Train Acc: 0.5031925414947632, Val Loss: 49.68053761981476, Val Acc: 0.503194623762704
AUC: 0.5
Saved TorchScript module to G:\My Drive\Neurophysics Master\Internship\Notebooks\Benchmark\outputs\22-04\FOURTOPS\Q1\openai_gpt-4o-mini\openai_gpt-4o-mini_1124_1_scripted.pt
",,342.27078810000967,-25567232
./outputs/22-04/FOURTOPS/Q1/anthropic_claude-3.7-sonnet\script_anthropic_claude-3.7-sonnet_1128_1.py,0,"Epoch 1/15:
  Training Loss: 0.0001, Training AUC: 0.7847
  Validation Loss: 0.0000, Validation AUC: 0.8122
Epoch 2/15:
  Training Loss: 0.0000, Training AUC: 0.8218
  Validation Loss: 0.0000, Validation AUC: 0.8190
Epoch 3/15:
  Training Loss: 0.0000, Training AUC: 0.7932
  Validation Loss: 0.0000, Validation AUC: 0.8511
Epoch 4/15:
  Training Loss: 0.0000, Training AUC: 0.7976
  Validation Loss: 0.0000, Validation AUC: 0.8334
Epoch 5/15:
  Training Loss: 0.0000, Training AUC: 0.7902
  Validation Loss: 0.0000, Validation AUC: 0.8559
Epoch 6/15:
  Training Loss: 0.0000, Training AUC: 0.7760
  Validation Loss: 0.0000, Validation AUC: 0.8590
Epoch 7/15:
  Training Loss: 0.0000, Training AUC: 0.7788
  Validation Loss: 0.0000, Validation AUC: 0.8680
Epoch 8/15:
  Training Loss: 0.0000, Training AUC: 0.7791
  Validation Loss: 0.0000, Validation AUC: 0.8751
Epoch 9/15:
  Training Loss: 0.0000, Training AUC: 0.7879
  Validation Loss: 0.0000, Validation AUC: 0.8080
Epoch 10/15:
  Training Loss: 0.0000, Training AUC: 0.7813
  Validation Loss: 0.0000, Validation AUC: 0.7866
Epoch 11/15:
  Training Loss: 0.0000, Training AUC: 0.7667
  Validation Loss: 0.0000, Validation AUC: 0.8661
Epoch 12/15:
  Training Loss: 0.0000, Training AUC: 0.8091
  Validation Loss: 0.0000, Validation AUC: 0.8553
Epoch 13/15:
  Training Loss: 0.0000, Training AUC: 0.8184
  Validation Loss: 0.0000, Validation AUC: 0.8789
Epoch 14/15:
  Training Loss: 0.0000, Training AUC: 0.8268
  Validation Loss: 0.0000, Validation AUC: 0.8889
Epoch 15/15:
  Training Loss: 0.0000, Training AUC: 0.8227
  Validation Loss: 0.0000, Validation AUC: 0.8706
Saved TorchScript module to G:\My Drive\Neurophysics Master\Internship\Notebooks\Benchmark\outputs\22-04\FOURTOPS\Q1\anthropic_claude-3.7-sonnet\anthropic_claude-3.7-sonnet_1128_1_scripted.pt
",,2157.0867136000015,-207081472
./outputs/22-04/FOURTOPS/Q1/google_gemini-2.0-flash-001\script_google_gemini-2.0-flash-001_1132_1.py,0,"Epoch [1/10], Train Loss: 0.4437, Train Acc: 78.16%, Val Loss: 1.4657, Val Acc: 90.48%
Epoch [2/10], Train Loss: 0.2314, Train Acc: 89.96%, Val Loss: 2.4940, Val Acc: 91.28%
Epoch [3/10], Train Loss: 0.2108, Train Acc: 90.67%, Val Loss: 3.9314, Val Acc: 91.42%
Epoch [4/10], Train Loss: 0.2070, Train Acc: 90.84%, Val Loss: 2.6981, Val Acc: 91.52%
Epoch [5/10], Train Loss: 0.2044, Train Acc: 90.95%, Val Loss: 2.6069, Val Acc: 91.45%
Epoch [6/10], Train Loss: 0.2023, Train Acc: 91.03%, Val Loss: 2.7000, Val Acc: 91.48%
Epoch [7/10], Train Loss: 0.2016, Train Acc: 91.08%, Val Loss: 1.1732, Val Acc: 91.53%
Epoch [8/10], Train Loss: 0.2010, Train Acc: 91.08%, Val Loss: 1.8381, Val Acc: 91.48%
Epoch [9/10], Train Loss: 0.2000, Train Acc: 91.09%, Val Loss: 1.6170, Val Acc: 91.50%
Epoch [10/10], Train Loss: 0.2002, Train Acc: 91.12%, Val Loss: 0.9202, Val Acc: 91.53%
Saved TorchScript module to G:\My Drive\Neurophysics Master\Internship\Notebooks\Benchmark\outputs\22-04\FOURTOPS\Q1\google_gemini-2.0-flash-001\google_gemini-2.0-flash-001_1132_1_scripted.pt
",,289.4479389999906,180224
./outputs/22-04/FOURTOPS/Q1/meta-llama_llama-3.3-70b-instruct\script_meta-llama_llama-3.3-70b-instruct_1135_1.py,0,"Epoch 1, Training Loss: 2.9209097232508654, Validation Loss: 2.9209097232508654, Validation AUC: 0.9566296517765394
Epoch 2, Training Loss: 4.842420772081095, Validation Loss: 4.842420772081095, Validation AUC: 0.9699902896192303
Epoch 3, Training Loss: 5.0672106797368714, Validation Loss: 5.0672106797368714, Validation AUC: 0.9705042471408082
Epoch 4, Training Loss: 5.29056073780424, Validation Loss: 5.29056073780424, Validation AUC: 0.9712238411548295
Epoch 5, Training Loss: 5.471067976537916, Validation Loss: 5.471067976537916, Validation AUC: 0.9715650985680367
Epoch 6, Training Loss: 5.19757251462296, Validation Loss: 5.19757251462296, Validation AUC: 0.9722602083939775
Epoch 7, Training Loss: 5.377522975293196, Validation Loss: 5.377522975293196, Validation AUC: 0.9720160942437389
Epoch 8, Training Loss: 5.636593964150536, Validation Loss: 5.636593964150536, Validation AUC: 0.9720621714252647
Epoch 9, Training Loss: 5.6909888260049, Validation Loss: 5.6909888260049, Validation AUC: 0.9726638840470939
Epoch 10, Training Loss: 6.069584929421073, Validation Loss: 6.069584929421073, Validation AUC: 0.9719747122395513
Saved TorchScript module to G:\My Drive\Neurophysics Master\Internship\Notebooks\Benchmark\outputs\22-04\FOURTOPS\Q1\meta-llama_llama-3.3-70b-instruct\meta-llama_llama-3.3-70b-instruct_1135_1_scripted.pt
",,536.7909470000013,-126976
./outputs/22-04/FOURTOPS/Q1/deepseek_deepseek-r1\script_deepseek_deepseek-r1_1146_1.py,0,"Epoch 1/10 | Train Loss: 0.0004 Acc: 0.5749 | Val Loss: 0.0004 Acc: 0.5958
Epoch 2/10 | Train Loss: 0.0004 Acc: 0.6023 | Val Loss: 0.0004 Acc: 0.6021
Epoch 3/10 | Train Loss: 0.0004 Acc: 0.6114 | Val Loss: 0.0004 Acc: 0.6127
Epoch 4/10 | Train Loss: 0.0004 Acc: 0.6145 | Val Loss: 0.0004 Acc: 0.6281
Epoch 5/10 | Train Loss: 0.0004 Acc: 0.6198 | Val Loss: 0.0004 Acc: 0.6201
Epoch 6/10 | Train Loss: 0.0004 Acc: 0.6227 | Val Loss: 0.0004 Acc: 0.6272
Epoch 7/10 | Train Loss: 0.0004 Acc: 0.6234 | Val Loss: 0.0004 Acc: 0.6400
Epoch 8/10 | Train Loss: 0.0004 Acc: 0.6284 | Val Loss: 0.0004 Acc: 0.6276
Epoch 9/10 | Train Loss: 0.0004 Acc: 0.6268 | Val Loss: 0.0004 Acc: 0.6331
Epoch 10/10 | Train Loss: 0.0003 Acc: 0.6284 | Val Loss: 0.0004 Acc: 0.6406
",,251.0291656999907,110592
