script,success,return_code,stdout,stderr,duration_s,max_rss_kb
outputs/23-06/FOURTOPS/Q3\anthropic_claude-sonnet-4\script_anthropic_claude-sonnet-4_1449_1.py,True,0,"argv0=/usr/local/bin/train.sh
argv1=outputs/23-06/FOURTOPS/Q3/anthropic_claude-sonnet-4/script_anthropic_claude-sonnet-4_1449_1.py
argv2=
#TRAIN_METRICS#{""epochs"": 50, ""train_loss"": [0.5434058074981479, 0.5211950041101141, 0.5138650050986622, 0.5096063896129697, 0.5047661267473535, 0.5011279014081268, 0.4980727421530223, 0.4948428782113528, 0.4915490364498001, 0.48947541598798866, 0.4866255293837038, 0.48401172629604905, 0.4810425207902819, 0.4701086756283954, 0.4662682631258237, 0.46223679847889027, 0.45959682358523546], ""val_loss"": [0.5155659232099178, 0.5094490829160658, 0.5081090144181656, 0.5075997619305627, 0.5038169496140238, 0.5030955753083957, 0.5018545212381977, 0.5032703058194306, 0.5040792075254149, 0.5021119733988229, 0.502839949676546, 0.5050386609667439, 0.5063315761291375, 0.5058134673005443, 0.5066901207980463, 0.508727467666238, 0.5085916781829576], ""train_acc"": [0.7280815370545857, 0.743711127755455, 0.7486106340805356, 0.7515155778644939, 0.7536508356885999, 0.7556536744228389, 0.7580868751991459, 0.7601393710920851, 0.7623035955920996, 0.7629243100758513, 0.7648361106858067, 0.7666403207852452, 0.7680472736150825, 0.7744654613770757, 0.7769938383742246, 0.7790546104602805, 0.7800187869583749], ""val_acc"": [0.7481709537524415, 0.7533353196279008, 0.7527063263481975, 0.7534015294468169, 0.7543615718211011, 0.7572748038534115, 0.7569437547588307, 0.7559175025656305, 0.7548581454629721, 0.7568775449399145, 0.7542291521832688, 0.7548250405535141, 0.752938060714404, 0.752938060714404, 0.7537325785413976, 0.7520442281590359, 0.7518787036117456]}
Hash manifest written â†’ anthropic_claude-sonnet-4_manifest.sha256
",,333.48696859998745,252
outputs/23-06/FOURTOPS/Q3\deepseek_deepseek-chat-v3-0324\script_deepseek_deepseek-chat-v3-0324_1521_4.py,True,0,"argv0=/usr/local/bin/train.sh
argv1=outputs/23-06/FOURTOPS/Q3/deepseek_deepseek-chat-v3-0324/script_deepseek_deepseek-chat-v3-0324_1521_4.py
argv2=
Epoch 1/20
Train Loss: 0.5847 Acc: 0.6973
Val Loss: 0.5614 Acc: 0.7127 AUC: 0.7841
Epoch 2/20
Train Loss: 0.5668 Acc: 0.7110
Val Loss: 0.5555 Acc: 0.7175 AUC: 0.7911
Epoch 3/20
Train Loss: 0.5608 Acc: 0.7143
Val Loss: 0.5514 Acc: 0.7206 AUC: 0.7933
Epoch 4/20
Train Loss: 0.5582 Acc: 0.7165
Val Loss: 0.5502 Acc: 0.7232 AUC: 0.7943
Epoch 5/20
Train Loss: 0.5555 Acc: 0.7189
Val Loss: 0.5471 Acc: 0.7232 AUC: 0.7969
Epoch 6/20
Train Loss: 0.5538 Acc: 0.7191
Val Loss: 0.5520 Acc: 0.7217 AUC: 0.7952
Epoch 7/20
Train Loss: 0.5527 Acc: 0.7200
Val Loss: 0.5466 Acc: 0.7267 AUC: 0.7970
Epoch 8/20
Train Loss: 0.5511 Acc: 0.7210
Val Loss: 0.5463 Acc: 0.7269 AUC: 0.7973
Epoch 9/20
Train Loss: 0.5500 Acc: 0.7217
Val Loss: 0.5484 Acc: 0.7244 AUC: 0.7953
Epoch 10/20
Train Loss: 0.5487 Acc: 0.7228
Val Loss: 0.5451 Acc: 0.7271 AUC: 0.7992
Epoch 11/20
Train Loss: 0.5473 Acc: 0.7241
Val Loss: 0.5436 Acc: 0.7280 AUC: 0.7999
Epoch 12/20
Train Loss: 0.5466 Acc: 0.7247
Val Loss: 0.5463 Acc: 0.7237 AUC: 0.7975
Epoch 13/20
Train Loss: 0.5458 Acc: 0.7256
Val Loss: 0.5432 Acc: 0.7278 AUC: 0.8002
Epoch 14/20
Train Loss: 0.5446 Acc: 0.7256
Val Loss: 0.5442 Acc: 0.7265 AUC: 0.7995
Epoch 15/20
Train Loss: 0.5436 Acc: 0.7265
Val Loss: 0.5438 Acc: 0.7280 AUC: 0.7996
Epoch 16/20
Train Loss: 0.5428 Acc: 0.7273
Val Loss: 0.5432 Acc: 0.7276 AUC: 0.8003
Epoch 17/20
Train Loss: 0.5420 Acc: 0.7277
Val Loss: 0.5445 Acc: 0.7263 AUC: 0.7990
Epoch 18/20
Train Loss: 0.5383 Acc: 0.7300
Val Loss: 0.5415 Acc: 0.7278 AUC: 0.8014
Epoch 19/20
Train Loss: 0.5369 Acc: 0.7313
Val Loss: 0.5421 Acc: 0.7270 AUC: 0.8012
Epoch 20/20
Train Loss: 0.5360 Acc: 0.7319
Val Loss: 0.5421 Acc: 0.7283 AUC: 0.8012
#TRAIN_METRICS#{""epochs"": 20, ""train_loss"": [0.5846625831986229, 0.5667818941849384, 0.560780439457012, 0.5582385787922154, 0.5555236753933315, 0.5537761759174323, 0.5526872394936434, 0.5510580091925501, 0.5500206952632097, 0.5487278042353441, 0.5473158151537698, 0.5466124305184659, 0.5458265680888365, 0.5446435124531854, 0.5436352558040819, 0.5428150696689084, 0.5420296451666952, 0.5382753861162737, 0.5369057874569125, 0.5359679571093674], ""val_loss"": [0.5614283994182075, 0.5554778696144413, 0.5514436620375004, 0.5502181387975278, 0.5470587119416203, 0.5520454590972613, 0.5466010127107188, 0.5462615701191459, 0.5484193835250749, 0.5450794810464548, 0.5436051087539364, 0.5463448649414578, 0.5432319189584468, 0.5442083507690426, 0.5438199158864355, 0.5431990960497769, 0.5445394684443838, 0.5415128395866565, 0.5420983150686728, 0.5420512439308233], ""train_acc"": [0.6973023748536148, 0.7110160268479705, 0.7143430564808799, 0.7165321095602445, 0.718936343660643, 0.7190522103642767, 0.7200122487658127, 0.7210426348088407, 0.7217461112237593, 0.7228220163289291, 0.7241255167448077, 0.724692435973301, 0.7256069553126953, 0.7255614362505535, 0.726455265107156, 0.7273242653844085, 0.7276718654953095, 0.7300388567266829, 0.7313009761769781, 0.7319092763710549], ""val_acc"": [0.7127487006323038, 0.7174827026848082, 0.7206276690833251, 0.7231767471115966, 0.7232098520210547, 0.7216539212765253, 0.7266858675141523, 0.7269176018803588, 0.7243685238520873, 0.7271493362465654, 0.7280100638924752, 0.7237064256629259, 0.7277783295262688, 0.7264541331479458, 0.7280431688019333, 0.7276459098884365, 0.7262555036911974, 0.7278445393451849, 0.727016916608733, 0.728341112987056]}
Hash manifest written â†’ deepseek_deepseek-chat-v3-0324_manifest.sha256
",,191.25617290000082,-16
outputs/23-06/FOURTOPS/Q3\google_gemini-2.5-pro\script_google_gemini-2.5-pro_1502_4.py,True,0,"argv0=/usr/local/bin/train.sh
argv1=outputs/23-06/FOURTOPS/Q3/google_gemini-2.5-pro/script_google_gemini-2.5-pro_1502_4.py
argv2=
#TRAIN_METRICS#{""epochs"": 30, ""train_loss"": [0.5681021791461516, 0.5349820162807214, 0.5258129015071311, 0.5188343164787191, 0.5162709551734393, 0.5121979644084491, 0.5096962369255343, 0.5076025376045334, 0.5049049649342199, 0.5033093552488103, 0.5016036549463846, 0.498066303346293, 0.49503626807287, 0.49300716004082196, 0.49043999870752525, 0.4867698135555468, 0.4854702404673339, 0.4834308434674062, 0.4811742277168906, 0.4790452713609359, 0.476803405401907, 0.4747245308425787, 0.47465774214411727, 0.4719504390863943, 0.4694004381729578, 0.4677556490946426, 0.46540170043269463, 0.46375751087587586, 0.46129798105146846, 0.4596610071499683], ""val_loss"": [0.5315755388131898, 0.5151213929251975, 0.5133605400938285, 0.5105391397697827, 0.5162537278124114, 0.5055574486811854, 0.5093357498712003, 0.499934351035396, 0.5054660581976503, 0.49566217093745224, 0.5047090110722138, 0.4931307980390482, 0.49163487944094036, 0.4985250900107194, 0.4844034652343418, 0.49119316090750403, 0.4829291813838927, 0.48761971702396356, 0.48349818039442416, 0.48143960408303793, 0.4808142500440765, 0.4890805176780608, 0.48073748399138144, 0.4824070242858002, 0.4827578122368295, 0.477250350738316, 0.4795798755755241, 0.4806711727753097, 0.4815109793921704, 0.4947403081578587], ""train_acc"": [0.701692895302019, 0.7343838581129452, 0.739945459887361, 0.7438559611349971, 0.7459622522831948, 0.7495872248683051, 0.7505017442076993, 0.7511928063329429, 0.7526618306111554, 0.7537294595232085, 0.754946059911362, 0.7568744129075508, 0.7582979181236215, 0.7602593758922771, 0.760929747534729, 0.7631891482555854, 0.7642360866848467, 0.7645133391542558, 0.7673769019726306, 0.7676913973110648, 0.7697232027212123, 0.7704556458120394, 0.7700459742527632, 0.772201922559661, 0.7733895562719061, 0.7742213136801334, 0.7764724382078732, 0.776675204939232, 0.779013229494697, 0.7790090913981387], ""val_acc"": [0.7403913000297944, 0.7486013175753964, 0.7495282550402225, 0.7495282550402225, 0.7493627304929321, 0.7544277816400172, 0.7493958354023902, 0.7569437547588307, 0.752474591981991, 0.7590293640546893, 0.7555202436521337, 0.7608501340748833, 0.763465421922071, 0.7552222994670109, 0.7669083325057106, 0.7645578839341874, 0.7678683748799947, 0.7607508193465091, 0.7643923593868971, 0.7662462343165491, 0.7690932565299434, 0.7655179263084716, 0.7694574105339822, 0.7680338994272851, 0.766180024497633, 0.7705167676366406, 0.7703512430893501, 0.7701195087231436, 0.7689939418015692, 0.760717714437051]}
Hash manifest written â†’ google_gemini-2.5-pro_manifest.sha256
",,3693.3589412000147,16
outputs/23-06/FOURTOPS/Q3\openai_o3-pro\script_openai_o3-pro_1445_1.py,True,0,"argv0=/usr/local/bin/train.sh
argv1=outputs/23-06/FOURTOPS/Q3/openai_o3-pro/script_openai_o3-pro_1445_1.py
argv2=
#TRAIN_METRICS#{""epochs"": 20, ""train_loss"": [0.5835399838574862, 0.5582397171627667, 0.5545580899816448, 0.5518925346560397, 0.5508021589179161, 0.5496904945348279, 0.5488488703208455, 0.5478308287338686, 0.5469910198727906, 0.5470334958853358, 0.5458674279309935, 0.5459939461138289, 0.54492721239389, 0.5449778289865639, 0.5433169136739383, 0.5426727874930632, 0.5426030988031525, 0.5419685795776925, 0.5418279487955369, 0.5416768423076403], ""val_loss"": [27311.225635400264, 10308.125134806513, 0.5443866121566902, 0.5412685709484553, 0.5406514850713439, 0.5413573854050394, 0.5386024001291243, 0.5379646587169776, 0.536432874909902, 0.5384000019501831, 0.5358384660745071, 0.5381939714237794, 0.5359963875705913, 0.5366470940032247, 0.5360327378167944, 0.5345691871845116, 0.5344492156626814, 0.5343221506829989, 0.5341189397593676, 0.5341524668669296], ""train_acc"": [0.6917742022265823, 0.7148112361713991, 0.7171067234318135, 0.7194281856892473, 0.7196314054525504, 0.7207241754158068, 0.7212322288650578, 0.7216062528097024, 0.7223633877554182, 0.7221545960943577, 0.7232225381974446, 0.7235833451909534, 0.7240757070860621, 0.7245308271909164, 0.7248040483159534, 0.7259295779769703, 0.7254876749495328, 0.7260626815890862, 0.7261079125485178, 0.7260912458522845], ""val_acc"": [0.7212559782852561, 0.7242360983864736, 0.7252954204203719, 0.7261224975020198, 0.7260560959072436, 0.7254597736617266, 0.7279427536463333, 0.7300948904732526, 0.729135009191804, 0.7280092209072436, 0.7303601099272906, 0.7292014764527143, 0.7301613577341629, 0.7311545367968284, 0.7291014527870436, 0.7311213036714974, 0.7308566024747946, 0.7301939432903871, 0.7299292420936843, 0.7318164180901091]}
Hash manifest written â†’ openai_o3-pro_manifest.sha256
",,169.11660340000526,0
outputs/23-06/FOURTOPS/Q3\openai_o4-mini-high\script_openai_o4-mini-high_1436_1.py,True,0,"argv0=/usr/local/bin/train.sh
argv1=outputs/23-06/FOURTOPS/Q3/openai_o4-mini-high/script_openai_o4-mini-high_1436_1.py
argv2=
#TRAIN_METRICS#{""epochs"": 10, ""train_loss"": [0.6672123857375744, 0.6574216125028285, 0.6549224307699404, 0.6542209151400817, 0.6530460669863463, 0.6523746074819874, 0.6518868913016899, 0.6516785874269165, 0.6512808806240408, 0.6506377402627286], ""val_loss"": [0.6542633370230474, 0.6516085377329728, 0.650425252597295, 0.6499014783056332, 0.6503941727145511, 0.6497191336717144, 0.6491007273348006, 0.6496272386156325, 0.6486984301959919, 0.6480139623720044], ""train_acc"": [0.6018447634457103, 0.6174702160500213, 0.619708926288086, 0.6213269220423989, 0.6217903888569336, 0.6233670036456631, 0.6240125467087649, 0.6236111513426055, 0.623689775177214, 0.6241780705710988], ""val_acc"": [0.6192273314132486, 0.6221074585361009, 0.6250537954778693, 0.6255834740291986, 0.6264442016751084, 0.6256496838481147, 0.6252855298440759, 0.6254510543913663, 0.6269076704075215, 0.6273049293210183]}
Hash manifest written â†’ openai_o4-mini-high_manifest.sha256
",,57.50762310001301,0
outputs/23-06/FOURTOPS/Q3\x-ai_grok-3-beta\script_x-ai_grok-3-beta_1513_3.py,True,0,"argv0=/usr/local/bin/train.sh
argv1=outputs/23-06/FOURTOPS/Q3/x-ai_grok-3-beta/script_x-ai_grok-3-beta_1513_3.py
argv2=
#TRAIN_METRICS#{""epochs"": 20, ""train_loss"": [0.5827787114401995, 0.5651467177322356, 0.5594314995963695, 0.5566719866405099, 0.5541047337701765, 0.5526886809680421, 0.5511863196931653, 0.5495306905043327, 0.548893825861357, 0.5480161869930009, 0.5463383125804239, 0.5454038067768185, 0.5445111352255789, 0.5433767850242429, 0.5425657684267577, 0.5421516919287585, 0.5410292360742214, 0.5399858591036272, 0.5389593669797405, 0.5380376655040151], ""val_loss"": [0.5616155903218156, 0.5540863750344616, 0.5612216753474737, 0.5510189563541089, 0.548797444266788, 0.5468546738058834, 0.5480815626807132, 0.5451454676813998, 0.5475017680960187, 0.5458253248263214, 0.543689773749497, 0.5433872256238582, 0.5444124194525056, 0.543586253614749, 0.5436593066837828, 0.5416707391456023, 0.5483529305053969, 0.5448421007495815, 0.5417539750115347, 0.5430112976138874], ""train_acc"": [0.6970416747704391, 0.7107180838957696, 0.7156879378623421, 0.7169210906367289, 0.7188453055363594, 0.7198094820344538, 0.720483991773464, 0.7222302685210856, 0.7216261064235673, 0.7225116590870532, 0.7237365356683233, 0.7242910406071416, 0.724932445573685, 0.7254703981262699, 0.7260538697409965, 0.7262814650517055, 0.7273035749016168, 0.727618070240051, 0.7284125847792532, 0.7284746562276284], ""val_acc"": [0.7121197073526004, 0.7210249279968219, 0.7129142251795941, 0.7234415863872612, 0.7244347336710034, 0.7263548184195716, 0.7236733207534677, 0.724236104214255, 0.7234746912967193, 0.7250637269507068, 0.7273810706127719, 0.7272486509749396, 0.7259244545966167, 0.7264210282384878, 0.7285397424438044, 0.7280100638924752, 0.7233091667494289, 0.7259575595060748, 0.7300625682788757, 0.72741417552223]}
Hash manifest written â†’ x-ai_grok-3-beta_manifest.sha256
",,225.50567030001548,0
